index,searched_keyword,site_domain,result_title,result_date,result_url
98,"""digital security by design""",.uk,About TechWorks,30 Jul 2024,https://www.techworks.org.uk/about-techworks
99,"""digital security by design""",.uk,Professor Matthew Williams - People,16 May 2020,https://www.cardiff.ac.uk/people/view/38047-williams-matthew
100,"""digital security by design""",.uk,Saqib Bhatti,9 Sept 2024,https://www.parallelparliament.co.uk/mp/saqib-bhatti
101,"""digital security by design""",.uk,Verifying System-level Security of a Smart Ballot Box,by D Dghaym,https://eprints.soton.ac.uk/448223/1/SBB_ABZ2021_Revision1.pdf
102,"""digital security by design""",.uk,,,
103,"""dsbd""",.uk,Digital Security by Design,12 Nov 2020,https://www.cyberuk.uk/2024/l/t?u=GdWpIZwbo42nSwDry2YZP5PwQul5i2zB8caq5fqXdQR7QG9mqlVpcp771zwB4VZPDWZPAoDUamL3xgOmOdD9yCVzhLlENR360njcSLJf-MXqiJDYrVdsDzQfFZB6RgXpjPlYcoMyYXkDLGqv9hc%3D&t=https%3A%2F%2Fwww.dsbd.tech%2F&i=bWUCB2ZLz_UHhQdHESrB-vltGHWdJYQA
104,"""dsbd""",.uk,,,
105,"""dsbd""",.uk,Digital Security by Design,28 Jan 2022,https://www.digicatapult.org.uk/apply/open-calls/opportunity/digital-security-by-design/
106,"""dsbd""",.uk,Competition overview - software ecosystem development,4 Oct 2021,https://apply-for-innovation-funding.service.gov.uk/competition/1020/overview
107,"""dsbd""",.uk,CHERI: The Digital Security by Design (DSbD) Initiative,18 Oct 2019,https://www.cl.cam.ac.uk/research/security/ctsrd/cheri/dsbd.html
108,"""dsbd""",.uk,DSbD-Mid-Term-report-2023.pdf,8 Jun 2023,https://digicat.org.uk/3Klzpui?utm_source=facebook&utm_medium=social
109,"""dsbd""",.uk,Companies across the UK join Digital Security by Design to ...,5 Oct 2022,https://www.digicatapult.org.uk/about/press-releases/post/companies-across-the-uk-join-digital-security-by-design-to-validate-next-generation-cybersecurity-technology/
110,"""dsbd""",.uk,New cohort given access to Arm Morello board to trial ...,4 Jun 2024,https://www.businessweekly.co.uk/posts/new-cohort-given-access-to-arm-morello-board-to-trial-cyber-security-solutions
111,"""dsbd""",.uk,Security - Sensor IT,5 Jan 2024,https://www.sensorit.co.uk/category/case-studies/security/
112,"""dsbd""",.uk,DSbD Desktop Project - UKRI Digital Security by Design,18 May 2024,https://www.capabilitieslimited.co.uk/current-projects/dsbd-desktop
113,"""dsbd""",.uk,ISCF Digital Security by Design – business led demonstrators ...,1 Mar 2021,https://apply-for-innovation-funding.service.gov.uk/competition/865/overview
